,Start_Time,SPEED,Coolant Temp,Engine Load,Throttle_pos_b,End_Time
102,1717228397,65.0 kilometer_per_hour,90 degree_Celsius,45.490196078431374 percent,23.92156862745098 percent,1717228397
103,1717228397,65.0 kilometer_per_hour,90 degree_Celsius,18.823529411764707 percent,19.215686274509803 percent,1717228397
104,1717228397,65.0 kilometer_per_hour,90 degree_Celsius,16.862745098039216 percent,19.607843137254903 percent,1717228397
105,1717228398,65.0 kilometer_per_hour,90 degree_Celsius,16.862745098039216 percent,19.607843137254903 percent,1717228398
106,1717228398,65.0 kilometer_per_hour,90 degree_Celsius,32.549019607843135 percent,22.745098039215687 percent,1717228398
107,1717228399,65.0 kilometer_per_hour,90 degree_Celsius,45.490196078431374 percent,25.098039215686274 percent,1717228399
108,1717228399,65.0 kilometer_per_hour,90 degree_Celsius,27.45098039215686 percent,21.568627450980394 percent,1717228399
109,1717228399,65.0 kilometer_per_hour,90 degree_Celsius,22.745098039215687 percent,20.784313725490197 percent,1717228399
110,1717228400,65.0 kilometer_per_hour,90 degree_Celsius,23.137254901960784 percent,20.784313725490197 percent,1717228400
111,1717228400,65.0 kilometer_per_hour,90 degree_Celsius,22.745098039215687 percent,20.784313725490197 percent,1717228400
112,1717228401,65.0 kilometer_per_hour,90 degree_Celsius,36.470588235294116 percent,23.92156862745098 percent,1717228401
113,1717228401,65.0 kilometer_per_hour,90 degree_Celsius,43.13725490196079 percent,24.705882352941178 percent,1717228401
114,1717228401,65.0 kilometer_per_hour,90 degree_Celsius,45.09803921568628 percent,25.098039215686274 percent,1717228402
115,1717228402,65.0 kilometer_per_hour,90 degree_Celsius,34.90196078431372 percent,22.745098039215687 percent,1717228402
116,1717228402,65.0 kilometer_per_hour,90 degree_Celsius,30.980392156862745 percent,21.96078431372549 percent,1717228402
117,1717228403,65.0 kilometer_per_hour,90 degree_Celsius,28.235294117647058 percent,21.96078431372549 percent,1717228403
118,1717228403,65.0 kilometer_per_hour,90 degree_Celsius,30.58823529411765 percent,22.352941176470587 percent,1717228403
119,1717228403,65.0 kilometer_per_hour,90 degree_Celsius,45.490196078431374 percent,25.88235294117647 percent,1717228404
120,1717228404,66.0 kilometer_per_hour,90 degree_Celsius,60.78431372549019 percent,28.627450980392158 percent,1717228404
121,1717228404,67.0 kilometer_per_hour,90 degree_Celsius,65.88235294117646 percent,28.627450980392158 percent,1717228404
122,1717228405,67.0 kilometer_per_hour,90 degree_Celsius,58.8235294117647 percent,27.45098039215686 percent,1717228405
123,1717228405,67.0 kilometer_per_hour,90 degree_Celsius,44.705882352941174 percent,25.098039215686274 percent,1717228405
124,1717228406,68.0 kilometer_per_hour,90 degree_Celsius,39.21568627450981 percent,24.313725490196077 percent,1717228406
125,1717228406,68.0 kilometer_per_hour,90 degree_Celsius,39.6078431372549 percent,24.313725490196077 percent,1717228406
126,1717228406,68.0 kilometer_per_hour,90 degree_Celsius,39.6078431372549 percent,24.313725490196077 percent,1717228406
127,1717228407,67.0 kilometer_per_hour,90 degree_Celsius,40.3921568627451 percent,24.313725490196077 percent,1717228407
128,1717228407,67.0 kilometer_per_hour,90 degree_Celsius,40.3921568627451 percent,24.313725490196077 percent,1717228407
129,1717228408,67.0 kilometer_per_hour,90 degree_Celsius,41.1764705882353 percent,24.705882352941178 percent,1717228408
130,1717228408,67.0 kilometer_per_hour,90 degree_Celsius,38.8235294117647 percent,23.529411764705884 percent,1717228408
131,1717228408,67.0 kilometer_per_hour,90 degree_Celsius,28.627450980392158 percent,21.176470588235293 percent,1717228409
132,1717228409,66.0 kilometer_per_hour,90 degree_Celsius,24.705882352941178 percent,21.176470588235293 percent,1717228409
133,1717228409,66.0 kilometer_per_hour,90 degree_Celsius,20.784313725490197 percent,20.392156862745097 percent,1717228409
134,1717228410,65.0 kilometer_per_hour,90 degree_Celsius,21.568627450980394 percent,20.392156862745097 percent,1717228410
135,1717228410,63.0 kilometer_per_hour,90 degree_Celsius,18.823529411764707 percent,19.607843137254903 percent,1717228410
136,1717228410,62.0 kilometer_per_hour,90 degree_Celsius,18.431372549019606 percent,19.607843137254903 percent,1717228411
137,1717228411,61.0 kilometer_per_hour,90 degree_Celsius,18.03921568627451 percent,19.215686274509803 percent,1717228411
138,1717228411,60.0 kilometer_per_hour,90 degree_Celsius,22.745098039215687 percent,20.784313725490197 percent,1717228411
139,1717228412,60.0 kilometer_per_hour,90 degree_Celsius,21.568627450980394 percent,20.0 percent,1717228412
140,1717228412,59.0 kilometer_per_hour,90 degree_Celsius,21.176470588235293 percent,20.0 percent,1717228412
141,1717228413,58.0 kilometer_per_hour,90 degree_Celsius,19.215686274509803 percent,19.215686274509803 percent,1717228413
142,1717228413,57.0 kilometer_per_hour,90 degree_Celsius,38.431372549019606 percent,24.313725490196077 percent,1717228413
143,1717228413,57.0 kilometer_per_hour,90 degree_Celsius,70.19607843137256 percent,29.019607843137255 percent,1717228413
144,1717228414,58.0 kilometer_per_hour,90 degree_Celsius,88.23529411764706 percent,34.11764705882353 percent,1717228414
145,1717228414,58.0 kilometer_per_hour,90 degree_Celsius,90.98039215686275 percent,36.07843137254902 percent,1717228414
